address,vasp_name
0x28c6c06298d514db089934071355e5743bf21d60,Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance
0xf977814e90da44bfa03b6295a0616a897441acec,Binance
0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKX
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKX
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKX
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken
0x6262998ced04146fa42253a5c0af90ca02dfd58e,Coinbase
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Coinbase
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Bybit
0x0639556f03714a74a5feeaf5736a4a64ff70d206,Bybit
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,KuCoin
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin
0xba2ae424d960c26247dd6c32edc70b295c744c43,Poloniex
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex
0xd6216fc19db775df9774a6e33526131da7d19a2c,Bitfinex
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi
0xab5c66752a9e8167967685f1450532fb1e4baaaa,Huobi
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance
0x564286362092d8e7936f0549571a803b203aaced,Binance
